mindate,maxdate,name,datacoverage,id
1996-02-08,2024-10-25,"Fredericton, CA",0.95,CITY:CA000003
1997-06-04,2024-10-25,"Montreal, CA",0.95,CITY:CA000005
1997-06-04,2024-10-25,"Ottawa, CA",0.95,CITY:CA000006
1996-02-08,2024-10-25,"Quebec, CA",0.95,CITY:CA000007
1996-02-08,2024-10-25,"Saint John, CA",0.95,CITY:CA000009
1996-04-04,2024-10-25,"Toronto, CA",0.95,CITY:CA000011
1995-04-26,2024-10-25,"Vancouver, CA",0.95,CITY:CA000012
1995-04-26,2024-10-25,"Victoria, CA",0.95,CITY:CA000013
1996-07-03,2024-10-25,"Winnipeg, CA",0.95,CITY:CA000014
1996-11-15,2024-10-25,"Havana, CU",0.95,CITY:CU000005
1996-11-15,2024-10-25,"Matanzas, CU",0.95,CITY:CU000008
1996-08-26,2023-08-01,"Naha, JA",0.95,CITY:JA000011
1996-03-11,2024-10-25,"Haeju, KN",0.95,CITY:KN000002
1996-03-11,2024-10-25,"Kaesong, KN",0.95,CITY:KN000005
1996-03-11,2024-09-25,"P'yongyang, KN",0.95,CITY:KN000007
1996-03-11,2024-09-25,"Sariwon, KN",0.95,CITY:KN000008
1996-03-11,2024-09-25,"Wonsan, KN",0.95,CITY:KN000010
1996-03-11,2024-10-25,"Ch'unch'on, KS",0.95,CITY:KS000001
1996-03-11,2024-10-25,"Ch'ungju, KS",0.95,CITY:KS000002
1996-03-11,2024-10-25,"Chonju, KS",0.95,CITY:KS000004
1996-03-11,2024-10-25,"Inch`on, KS",0.95,CITY:KS000005
1996-03-11,2024-10-25,"Kwangju, KS",0.95,CITY:KS000006
1996-03-11,2024-10-25,"Pusan, KS",0.95,CITY:KS000007
1996-03-11,2024-10-25,"Seoul, KS",0.95,CITY:KS000008
1996-03-11,2024-10-25,"Taegu, KS",0.95,CITY:KS000009
1996-03-11,2024-10-25,"Taejon, KS",0.95,CITY:KS000010
1996-09-13,2024-10-25,"Mexicali, MX",0.95,CITY:MX000019
1997-07-07,2024-10-25,"Mayaguez, RQ",0.95,CITY:RQ000001
1997-07-07,2024-10-25,"Ponce, RQ",0.95,CITY:RQ000002
1997-07-07,2024-10-25,"San Juan, RQ",0.95,CITY:RQ000003
1994-06-15,2024-10-25,"Washington D.C., US",0.95,CITY:US000001
1994-08-16,2024-10-25,"Alexander City, AL US",0.95,CITY:US010001
1995-02-24,2024-10-25,"Anniston, AL US",0.95,CITY:US010002
1994-08-15,2024-10-25,"Auburn, AL US",0.95,CITY:US010003
1995-02-24,2024-10-25,"Birmingham, AL US",0.95,CITY:US010004
1995-02-24,2024-10-25,"Cullman, AL US",0.95,CITY:US010005
