mindate,maxdate,name,datacoverage,id
2010-01-01,2010-01-01,"Vancouver, CA",1,CITY:CA000012
2010-01-01,2010-01-01,"Mexicali, MX",1,CITY:MX000019
2010-01-01,2010-01-01,"Mayaguez, RQ",1,CITY:RQ000001
2010-01-01,2010-01-01,"Ponce, RQ",1,CITY:RQ000002
2010-01-01,2010-01-01,"San Juan, RQ",1,CITY:RQ000003
2010-01-01,2010-01-01,"Washington D.C., US",1,CITY:US000001
2010-01-01,2010-01-01,"Alexander City, AL US",1,CITY:US010001
2010-01-01,2010-01-01,"Anniston, AL US",1,CITY:US010002
2010-01-01,2010-01-01,"Auburn, AL US",1,CITY:US010003
2010-01-01,2010-01-01,"Birmingham, AL US",1,CITY:US010004
2010-01-01,2010-01-01,"Cullman, AL US",1,CITY:US010005
2010-01-01,2010-01-01,"Dothan, AL US",1,CITY:US010006
2010-01-01,2010-01-01,"Enterprise, AL US",1,CITY:US010007
2010-01-01,2010-01-01,"Eufaula, AL US",1,CITY:US010008
2010-01-01,2010-01-01,"Florence, AL US",1,CITY:US010009
2010-01-01,2010-01-01,"Fort Payne, AL US",1,CITY:US010010
2010-01-01,2010-01-01,"Gadsden, AL US",1,CITY:US010011
2010-01-01,2010-01-01,"Huntsville, AL US",1,CITY:US010012
2010-01-01,2010-01-01,"Jasper, AL US",1,CITY:US010013
2010-01-01,2010-01-01,"Mobile, AL US",1,CITY:US010014
2010-01-01,2010-01-01,"Montgomery, AL US",1,CITY:US010015
2010-01-01,2010-01-01,"Selma, AL US",1,CITY:US010016
2010-01-01,2010-01-01,"Talladega, AL US",1,CITY:US010017
2010-01-01,2010-01-01,"Troy, AL US",1,CITY:US010018
2010-01-01,2010-01-01,"Tuscaloosa, AL US",1,CITY:US010019
2010-01-01,2010-01-01,"Anchorage, AK US",1,CITY:US020001
2010-01-01,2010-01-01,"Fairbanks, AK US",1,CITY:US020002
2010-01-01,2010-01-01,"Juneau, AK US",1,CITY:US020003
2010-01-01,2010-01-01,"Nome, AK US",1,CITY:US020004
2010-01-01,2010-01-01,"Seward, AK US",1,CITY:US020005
2010-01-01,2010-01-01,"Bullhead City, AZ US",1,CITY:US040001
2010-01-01,2010-01-01,"Casa Grande, AZ US",1,CITY:US040002
2010-01-01,2010-01-01,"Douglas, AZ US",1,CITY:US040003
2010-01-01,2010-01-01,"Flagstaff, AZ US",1,CITY:US040004
2010-01-01,2010-01-01,"Green Valley, AZ US",1,CITY:US040005
2010-01-01,2010-01-01,"Kingman, AZ US",1,CITY:US040006
2010-01-01,2010-01-01,"Lake Havasu City, AZ US",1,CITY:US040007
2010-01-01,2010-01-01,"Mesa, AZ US",1,CITY:US040008
2010-01-01,2010-01-01,"Nogales, AZ US",1,CITY:US040009
2010-01-01,2010-01-01,"Payson, AZ US",1,CITY:US040010
2010-01-01,2010-01-01,"Phoenix, AZ US",1,CITY:US040011
2010-01-01,2010-01-01,"Prescott, AZ US",1,CITY:US040012
2010-01-01,2010-01-01,"Sierra Vista, AZ US",1,CITY:US040013
2010-01-01,2010-01-01,"Tucson, AZ US",1,CITY:US040014
2010-01-01,2010-01-01,"Yuma, AZ US",1,CITY:US040015
2010-01-01,2010-01-01,"Arkadelphia, AR US",1,CITY:US050001
2010-01-01,2010-01-01,"Blytheville, AR US",1,CITY:US050002
2010-01-01,2010-01-01,"Camden, AR US",1,CITY:US050003
2010-01-01,2010-01-01,"Conway, AR US",1,CITY:US050004
2010-01-01,2010-01-01,"El Dorado, AR US",1,CITY:US050005
2010-01-01,2010-01-01,"Fayetteville, AR US",1,CITY:US050006
2010-01-01,2010-01-01,"Forrest City, AR US",1,CITY:US050007
2010-01-01,2010-01-01,"Fort Smith, AR US",1,CITY:US050008
2010-01-01,2010-01-01,"Harrison, AR US",1,CITY:US050009
2010-01-01,2010-01-01,"Hope, AR US",1,CITY:US050010
2010-01-01,2010-01-01,"Hot Springs, AR US",1,CITY:US050011
2010-01-01,2010-01-01,"Jonesboro, AR US",1,CITY:US050012
2010-01-01,2010-01-01,"Little Rock, AR US",1,CITY:US050013
2010-01-01,2010-01-01,"Magnolia, AR US",1,CITY:US050014
2010-01-01,2010-01-01,"Mountain Home, AR US",1,CITY:US050015
2010-01-01,2010-01-01,"Paragould, AR US",1,CITY:US050016
2010-01-01,2010-01-01,"Pine Bluff, AR US",1,CITY:US050017
2010-01-01,2010-01-01,"Russellville, AR US",1,CITY:US050018
2010-01-01,2010-01-01,"Searcy, AR US",1,CITY:US050019
2010-01-01,2010-01-01,"Siloam Springs, AR US",1,CITY:US050020
2010-01-01,2010-01-01,"Anaheim, CA US",1,CITY:US060001
2010-01-01,2010-01-01,"Bakersfield, CA US",1,CITY:US060002
2010-01-01,2010-01-01,"Barstow, CA US",1,CITY:US060003
2010-01-01,2010-01-01,"Blythe, CA US",1,CITY:US060004
2010-01-01,2010-01-01,"Chico, CA US",1,CITY:US060005
2010-01-01,2010-01-01,"Clearlake, CA US",1,CITY:US060006
2010-01-01,2010-01-01,"Coalinga, CA US",1,CITY:US060007
2010-01-01,2010-01-01,"El Centro, CA US",1,CITY:US060008
2010-01-01,2010-01-01,"Eureka, CA US",1,CITY:US060009
2010-01-01,2010-01-01,"Fresno, CA US",1,CITY:US060010
2010-01-01,2010-01-01,"Grass Valley, CA US",1,CITY:US060011
2010-01-01,2010-01-01,"Long Beach, CA US",1,CITY:US060012
2010-01-01,2010-01-01,"Los Angeles, CA US",1,CITY:US060013
2010-01-01,2010-01-01,"Merced, CA US",1,CITY:US060014
2010-01-01,2010-01-01,"Modesto, CA US",1,CITY:US060015
2010-01-01,2010-01-01,"Monterey, CA US",1,CITY:US060016
2010-01-01,2010-01-01,"Napa, CA US",1,CITY:US060017
2010-01-01,2010-01-01,"Oakland, CA US",1,CITY:US060018
2010-01-01,2010-01-01,"Oceanside, CA US",1,CITY:US060019
2010-01-01,2010-01-01,"Oxnard, CA US",1,CITY:US060020
2010-01-01,2010-01-01,"Palm Springs, CA US",1,CITY:US060021
2010-01-01,2010-01-01,"Red Bluff, CA US",1,CITY:US060022
2010-01-01,2010-01-01,"Redding, CA US",1,CITY:US060023
2010-01-01,2010-01-01,"Ridgecrest, CA US",1,CITY:US060024
2010-01-01,2010-01-01,"Riverside, CA US",1,CITY:US060025
2010-01-01,2010-01-01,"Rosamond, CA US",1,CITY:US060026
2010-01-01,2010-01-01,"Sacramento, CA US",1,CITY:US060027
2010-01-01,2010-01-01,"Salinas, CA US",1,CITY:US060028
2010-01-01,2010-01-01,"San Bernardino, CA US",1,CITY:US060029
2010-01-01,2010-01-01,"San Diego, CA US",1,CITY:US060030
2010-01-01,2010-01-01,"San Francisco, CA US",1,CITY:US060031
2010-01-01,2010-01-01,"San Jose, CA US",1,CITY:US060032
2010-01-01,2010-01-01,"San Luis Obispo, CA US",1,CITY:US060033
2010-01-01,2010-01-01,"Santa Ana, CA US",1,CITY:US060034
2010-01-01,2010-01-01,"Santa Barbara, CA US",1,CITY:US060035
2010-01-01,2010-01-01,"Santa Clarita, CA US",1,CITY:US060036
2010-01-01,2010-01-01,"Santa Cruz, CA US",1,CITY:US060037
2010-01-01,2010-01-01,"Santa Maria, CA US",1,CITY:US060038
2010-01-01,2010-01-01,"Santa Rosa, CA US",1,CITY:US060039
2010-01-01,2010-01-01,"Simi Valley, CA US",1,CITY:US060040
2010-01-01,2010-01-01,"Soledad, CA US",1,CITY:US060041
2010-01-01,2010-01-01,"Stockton, CA US",1,CITY:US060042
2010-01-01,2010-01-01,"Susanville, CA US",1,CITY:US060043
2010-01-01,2010-01-01,"Ukiah, CA US",1,CITY:US060044
2010-01-01,2010-01-01,"Vallejo, CA US",1,CITY:US060045
2010-01-01,2010-01-01,"Visalia, CA US",1,CITY:US060046
2010-01-01,2010-01-01,"Yuba City, CA US",1,CITY:US060047
2010-01-01,2010-01-01,"Yucca Valley, CA US",1,CITY:US060048
2010-01-01,2010-01-01,"Boulder, CO US",1,CITY:US080001
2010-01-01,2010-01-01,"Canon City, CO US",1,CITY:US080002
2010-01-01,2010-01-01,"Colorado Springs, CO US",1,CITY:US080003
2010-01-01,2010-01-01,"Denver, CO US",1,CITY:US080004
2010-01-01,2010-01-01,"Durango, CO US",1,CITY:US080005
2010-01-01,2010-01-01,"Fort Collins, CO US",1,CITY:US080006
2010-01-01,2010-01-01,"Fort Morgan, CO US",1,CITY:US080007
2010-01-01,2010-01-01,"Grand Junction, CO US",1,CITY:US080008
2010-01-01,2010-01-01,"Montrose, CO US",1,CITY:US080009
2010-01-01,2010-01-01,"Pueblo, CO US",1,CITY:US080010
2010-01-01,2010-01-01,"Sterling, CO US",1,CITY:US080011
2010-01-01,2010-01-01,"Bridgeport, CT US",1,CITY:US090001
2010-01-01,2010-01-01,"Danbury, CT US",1,CITY:US090002
2010-01-01,2010-01-01,"Hartford, CT US",1,CITY:US090003
2010-01-01,2010-01-01,"New Haven, CT US",1,CITY:US090004
2010-01-01,2010-01-01,"New London, CT US",1,CITY:US090005
2010-01-01,2010-01-01,"Norwalk, CT US",1,CITY:US090006
2010-01-01,2010-01-01,"Norwich, CT US",1,CITY:US090007
2010-01-01,2010-01-01,"Stamford, CT US",1,CITY:US090008
2010-01-01,2010-01-01,"Torrington, CT US",1,CITY:US090009
2010-01-01,2010-01-01,"Waterbury, CT US",1,CITY:US090010
2010-01-01,2010-01-01,"Willimantic, CT US",1,CITY:US090011
2010-01-01,2010-01-01,"Dover, DE US",1,CITY:US100001
2010-01-01,2010-01-01,"Newark, DE US",1,CITY:US100002
2010-01-01,2010-01-01,"Belle Glade, FL US",1,CITY:US120001
2010-01-01,2010-01-01,"Boca Raton, FL US",1,CITY:US120002
2010-01-01,2010-01-01,"Boynton Beach, FL US",1,CITY:US120003
2010-01-01,2010-01-01,"Bradenton, FL US",1,CITY:US120004
2010-01-01,2010-01-01,"Cape Coral, FL US",1,CITY:US120005
2010-01-01,2010-01-01,"Coral Springs, FL US",1,CITY:US120007
2010-01-01,2010-01-01,"Crestview, FL US",1,CITY:US120008
2010-01-01,2010-01-01,"Daytona Beach, FL US",1,CITY:US120009
2010-01-01,2010-01-01,"Deltona, FL US",1,CITY:US120010
2010-01-01,2010-01-01,"Destin, FL US",1,CITY:US120011
2010-01-01,2010-01-01,"Fort Lauderdale, FL US",1,CITY:US120012
2010-01-01,2010-01-01,"Fort Myers, FL US",1,CITY:US120013
2010-01-01,2010-01-01,"Fort Walton Beach, FL US",1,CITY:US120014
2010-01-01,2010-01-01,"Gainesville, FL US",1,CITY:US120015
