mindate,maxdate,name,datacoverage,id
2010-01-01,2010-12-31,"Vancouver, CA",1,CITY:CA000012
2010-01-01,2010-12-31,"Mexicali, MX",1,CITY:MX000019
2010-01-01,2010-12-31,"Mayaguez, RQ",1,CITY:RQ000001
2010-01-01,2010-12-31,"Ponce, RQ",1,CITY:RQ000002
2010-01-01,2010-12-31,"San Juan, RQ",1,CITY:RQ000003
2010-01-01,2010-12-31,"Washington D.C., US",1,CITY:US000001
2010-01-01,2010-12-31,"Alexander City, AL US",1,CITY:US010001
2010-01-01,2010-12-31,"Anniston, AL US",1,CITY:US010002
2010-01-01,2010-12-31,"Auburn, AL US",1,CITY:US010003
2010-01-01,2010-12-31,"Birmingham, AL US",1,CITY:US010004
2010-01-01,2010-12-31,"Cullman, AL US",1,CITY:US010005
2010-01-01,2010-12-31,"Dothan, AL US",1,CITY:US010006
2010-01-01,2010-12-31,"Enterprise, AL US",1,CITY:US010007
2010-01-01,2010-12-31,"Eufaula, AL US",1,CITY:US010008
2010-01-01,2010-12-31,"Florence, AL US",1,CITY:US010009
2010-01-01,2010-12-31,"Fort Payne, AL US",1,CITY:US010010
2010-01-01,2010-12-31,"Gadsden, AL US",1,CITY:US010011
2010-01-01,2010-12-31,"Huntsville, AL US",1,CITY:US010012
2010-01-01,2010-12-31,"Jasper, AL US",1,CITY:US010013
2010-01-01,2010-12-31,"Mobile, AL US",1,CITY:US010014
2010-01-01,2010-12-31,"Montgomery, AL US",1,CITY:US010015
2010-01-01,2010-12-31,"Selma, AL US",1,CITY:US010016
2010-01-01,2010-12-31,"Talladega, AL US",1,CITY:US010017
2010-01-01,2010-12-31,"Troy, AL US",1,CITY:US010018
2010-01-01,2010-12-31,"Tuscaloosa, AL US",1,CITY:US010019
2010-01-01,2010-12-31,"Anchorage, AK US",1,CITY:US020001
2010-01-01,2010-12-31,"Fairbanks, AK US",1,CITY:US020002
2010-01-01,2010-12-31,"Juneau, AK US",1,CITY:US020003
2010-01-01,2010-12-31,"Nome, AK US",1,CITY:US020004
2010-01-01,2010-12-31,"Seward, AK US",1,CITY:US020005
2010-01-01,2010-12-31,"Bullhead City, AZ US",1,CITY:US040001
2010-01-01,2010-12-31,"Casa Grande, AZ US",1,CITY:US040002
2010-01-01,2010-12-31,"Douglas, AZ US",1,CITY:US040003
2010-01-01,2010-12-31,"Flagstaff, AZ US",1,CITY:US040004
2010-01-01,2010-12-31,"Green Valley, AZ US",1,CITY:US040005
2010-01-01,2010-12-31,"Kingman, AZ US",1,CITY:US040006
2010-01-01,2010-12-31,"Lake Havasu City, AZ US",1,CITY:US040007
2010-01-01,2010-12-31,"Mesa, AZ US",1,CITY:US040008
2010-01-01,2010-12-31,"Nogales, AZ US",1,CITY:US040009
2010-01-01,2010-12-31,"Payson, AZ US",1,CITY:US040010
2010-01-01,2010-12-31,"Phoenix, AZ US",1,CITY:US040011
2010-01-01,2010-12-31,"Prescott, AZ US",1,CITY:US040012
2010-01-01,2010-12-31,"Sierra Vista, AZ US",1,CITY:US040013
2010-01-01,2010-12-31,"Tucson, AZ US",1,CITY:US040014
2010-01-01,2010-12-31,"Yuma, AZ US",1,CITY:US040015
2010-01-01,2010-12-31,"Arkadelphia, AR US",1,CITY:US050001
2010-01-01,2010-12-31,"Blytheville, AR US",1,CITY:US050002
2010-01-01,2010-12-31,"Camden, AR US",1,CITY:US050003
2010-01-01,2010-12-31,"Conway, AR US",1,CITY:US050004
2010-01-01,2010-12-31,"El Dorado, AR US",1,CITY:US050005
2010-01-01,2010-12-31,"Fayetteville, AR US",1,CITY:US050006
2010-01-01,2010-12-31,"Forrest City, AR US",1,CITY:US050007
2010-01-01,2010-12-31,"Fort Smith, AR US",1,CITY:US050008
2010-01-01,2010-12-31,"Harrison, AR US",1,CITY:US050009
2010-01-01,2010-12-31,"Hope, AR US",1,CITY:US050010
2010-01-01,2010-12-31,"Hot Springs, AR US",1,CITY:US050011
2010-01-01,2010-12-31,"Jonesboro, AR US",1,CITY:US050012
2010-01-01,2010-12-31,"Little Rock, AR US",1,CITY:US050013
2010-01-01,2010-12-31,"Magnolia, AR US",1,CITY:US050014
2010-01-01,2010-12-31,"Mountain Home, AR US",1,CITY:US050015
2010-01-01,2010-12-31,"Paragould, AR US",1,CITY:US050016
2010-01-01,2010-12-31,"Pine Bluff, AR US",1,CITY:US050017
2010-01-01,2010-12-31,"Russellville, AR US",1,CITY:US050018
2010-01-01,2010-12-31,"Searcy, AR US",1,CITY:US050019
2010-01-01,2010-12-31,"Siloam Springs, AR US",1,CITY:US050020
2010-01-01,2010-12-31,"Anaheim, CA US",1,CITY:US060001
2010-01-01,2010-12-31,"Bakersfield, CA US",1,CITY:US060002
2010-01-01,2010-12-31,"Barstow, CA US",1,CITY:US060003
2010-01-01,2010-12-31,"Blythe, CA US",1,CITY:US060004
2010-01-01,2010-12-31,"Chico, CA US",1,CITY:US060005
2010-01-01,2010-12-31,"Clearlake, CA US",1,CITY:US060006
2010-01-01,2010-12-31,"Coalinga, CA US",1,CITY:US060007
2010-01-01,2010-12-31,"El Centro, CA US",1,CITY:US060008
2010-01-01,2010-12-31,"Eureka, CA US",1,CITY:US060009
2010-01-01,2010-12-31,"Fresno, CA US",1,CITY:US060010
2010-01-01,2010-12-31,"Grass Valley, CA US",1,CITY:US060011
2010-01-01,2010-12-31,"Long Beach, CA US",1,CITY:US060012
2010-01-01,2010-12-31,"Los Angeles, CA US",1,CITY:US060013
2010-01-01,2010-12-31,"Merced, CA US",1,CITY:US060014
2010-01-01,2010-12-31,"Modesto, CA US",1,CITY:US060015
2010-01-01,2010-12-31,"Monterey, CA US",1,CITY:US060016
2010-01-01,2010-12-31,"Napa, CA US",1,CITY:US060017
2010-01-01,2010-12-31,"Oakland, CA US",1,CITY:US060018
2010-01-01,2010-12-31,"Oceanside, CA US",1,CITY:US060019
2010-01-01,2010-12-31,"Oxnard, CA US",1,CITY:US060020
2010-01-01,2010-12-31,"Palm Springs, CA US",1,CITY:US060021
2010-01-01,2010-12-31,"Red Bluff, CA US",1,CITY:US060022
2010-01-01,2010-12-31,"Redding, CA US",1,CITY:US060023
2010-01-01,2010-12-31,"Ridgecrest, CA US",1,CITY:US060024
2010-01-01,2010-12-31,"Riverside, CA US",1,CITY:US060025
2010-01-01,2010-12-31,"Rosamond, CA US",1,CITY:US060026
2010-01-01,2010-12-31,"Sacramento, CA US",1,CITY:US060027
2010-01-01,2010-12-31,"Salinas, CA US",1,CITY:US060028
2010-01-01,2010-12-31,"San Bernardino, CA US",1,CITY:US060029
2010-01-01,2010-12-31,"San Diego, CA US",1,CITY:US060030
2010-01-01,2010-12-31,"San Francisco, CA US",1,CITY:US060031
2010-01-01,2010-12-31,"San Jose, CA US",1,CITY:US060032
2010-01-01,2010-12-31,"San Luis Obispo, CA US",1,CITY:US060033
2010-01-01,2010-12-31,"Santa Ana, CA US",1,CITY:US060034
2010-01-01,2010-12-31,"Santa Barbara, CA US",1,CITY:US060035
2010-01-01,2010-12-31,"Santa Clarita, CA US",1,CITY:US060036
2010-01-01,2010-12-31,"Santa Cruz, CA US",1,CITY:US060037
2010-01-01,2010-12-31,"Santa Maria, CA US",1,CITY:US060038
2010-01-01,2010-12-31,"Santa Rosa, CA US",1,CITY:US060039
2010-01-01,2010-12-31,"Simi Valley, CA US",1,CITY:US060040
2010-01-01,2010-12-31,"Soledad, CA US",1,CITY:US060041
2010-01-01,2010-12-31,"Stockton, CA US",1,CITY:US060042
2010-01-01,2010-12-31,"Susanville, CA US",1,CITY:US060043
2010-01-01,2010-12-31,"Ukiah, CA US",1,CITY:US060044
2010-01-01,2010-12-31,"Vallejo, CA US",1,CITY:US060045
2010-01-01,2010-12-31,"Visalia, CA US",1,CITY:US060046
2010-01-01,2010-12-31,"Yuba City, CA US",1,CITY:US060047
2010-01-01,2010-12-31,"Yucca Valley, CA US",1,CITY:US060048
2010-01-01,2010-12-31,"Boulder, CO US",1,CITY:US080001
2010-01-01,2010-12-31,"Canon City, CO US",1,CITY:US080002
2010-01-01,2010-12-31,"Colorado Springs, CO US",1,CITY:US080003
2010-01-01,2010-12-31,"Denver, CO US",1,CITY:US080004
2010-01-01,2010-12-31,"Durango, CO US",1,CITY:US080005
2010-01-01,2010-12-31,"Fort Collins, CO US",1,CITY:US080006
2010-01-01,2010-12-31,"Fort Morgan, CO US",1,CITY:US080007
2010-01-01,2010-12-31,"Grand Junction, CO US",1,CITY:US080008
2010-01-01,2010-12-31,"Montrose, CO US",1,CITY:US080009
2010-01-01,2010-12-31,"Pueblo, CO US",1,CITY:US080010
2010-01-01,2010-12-31,"Sterling, CO US",1,CITY:US080011
2010-01-01,2010-12-31,"Bridgeport, CT US",1,CITY:US090001
2010-01-01,2010-12-31,"Danbury, CT US",1,CITY:US090002
2010-01-01,2010-12-31,"Hartford, CT US",1,CITY:US090003
2010-01-01,2010-12-31,"New Haven, CT US",1,CITY:US090004
2010-01-01,2010-12-31,"New London, CT US",1,CITY:US090005
2010-01-01,2010-12-31,"Norwalk, CT US",1,CITY:US090006
2010-01-01,2010-12-31,"Norwich, CT US",1,CITY:US090007
2010-01-01,2010-12-31,"Stamford, CT US",1,CITY:US090008
2010-01-01,2010-12-31,"Torrington, CT US",1,CITY:US090009
2010-01-01,2010-12-31,"Waterbury, CT US",1,CITY:US090010
2010-01-01,2010-12-31,"Willimantic, CT US",1,CITY:US090011
2010-01-01,2010-12-31,"Dover, DE US",1,CITY:US100001
2010-01-01,2010-12-31,"Newark, DE US",1,CITY:US100002
2010-01-01,2010-12-31,"Belle Glade, FL US",1,CITY:US120001
2010-01-01,2010-12-31,"Boca Raton, FL US",1,CITY:US120002
2010-01-01,2010-12-31,"Boynton Beach, FL US",1,CITY:US120003
2010-01-01,2010-12-31,"Bradenton, FL US",1,CITY:US120004
2010-01-01,2010-12-31,"Cape Coral, FL US",1,CITY:US120005
2010-01-01,2010-12-31,"Coral Springs, FL US",1,CITY:US120007
2010-01-01,2010-12-31,"Crestview, FL US",1,CITY:US120008
2010-01-01,2010-12-31,"Daytona Beach, FL US",1,CITY:US120009
2010-01-01,2010-12-31,"Deltona, FL US",1,CITY:US120010
2010-01-01,2010-12-31,"Destin, FL US",1,CITY:US120011
2010-01-01,2010-12-31,"Fort Lauderdale, FL US",1,CITY:US120012
2010-01-01,2010-12-31,"Fort Myers, FL US",1,CITY:US120013
2010-01-01,2010-12-31,"Fort Walton Beach, FL US",1,CITY:US120014
2010-01-01,2010-12-31,"Gainesville, FL US",1,CITY:US120015
2010-01-01,2010-12-31,"Homosassa Springs, FL US",1,CITY:US120016
2010-01-01,2010-12-31,"Immokalee, FL US",1,CITY:US120017
2010-01-01,2010-12-31,"Jacksonville, FL US",1,CITY:US120018
2010-01-01,2010-12-31,"Jupiter, FL US",1,CITY:US120019
2010-01-01,2010-12-31,"Key Largo, FL US",1,CITY:US120020
2010-01-01,2010-12-31,"Key West, FL US",1,CITY:US120021
2010-01-01,2010-12-31,"Kissimmee, FL US",1,CITY:US120022
2010-01-01,2010-12-31,"Marathon, FL US",1,CITY:US120023
2010-01-01,2010-12-31,"Melbourne, FL US",1,CITY:US120024
