mindate,maxdate,name,datacoverage,id
1975-09-16,2014-01-01,"Vancouver, CA",0.0088,CITY:CA000012
1984-01-01,2008-04-01,"Mexicali, MX",0.0016,CITY:MX000019
1971-07-02,2014-01-01,"Mayaguez, RQ",0.0415,CITY:RQ000001
1971-07-03,2013-11-01,"Ponce, RQ",0.0222,CITY:RQ000002
1971-07-05,2014-01-01,"San Juan, RQ",0.0416,CITY:RQ000003
1971-05-07,2014-01-01,"Washington D.C., US",0.0237,CITY:US000001
1971-05-08,2014-01-01,"Alexander City, AL US",0.0102,CITY:US010001
1975-06-06,2014-01-01,"Anniston, AL US",0.0078,CITY:US010002
1984-01-01,2014-01-01,"Auburn, AL US",0.0129,CITY:US010003
1987-08-01,2009-12-01,"Birmingham, AL US",0.0112,CITY:US010004
1973-04-07,2007-11-01,"Cullman, AL US",0.0108,CITY:US010005
1971-05-01,2014-01-01,"Dothan, AL US",0.0096,CITY:US010006
1971-05-01,2014-01-01,"Enterprise, AL US",0.0166,CITY:US010007
1972-01-01,2014-01-01,"Fort Payne, AL US",0.0113,CITY:US010010
1998-03-01,2014-01-01,"Montgomery, AL US",0.0097,CITY:US010015
1972-03-01,2014-01-01,"Troy, AL US",0.0111,CITY:US010018
1978-04-11,2014-01-01,"Tuscaloosa, AL US",0.0092,CITY:US010019
1976-01-01,1978-12-31,"Anchorage, AK US",0.0048,CITY:US020001
1976-01-01,2000-06-01,"Fairbanks, AK US",0.002,CITY:US020002
1976-01-01,1978-12-01,"Juneau, AK US",0.0069,CITY:US020003
1971-05-01,2008-12-01,"Casa Grande, AZ US",0.002,CITY:US040002
1971-05-01,1994-03-21,"Douglas, AZ US",0.0038,CITY:US040003
1998-04-01,2014-01-01,"Flagstaff, AZ US",0.0094,CITY:US040004
1972-03-01,2009-09-01,"Green Valley, AZ US",0.0038,CITY:US040005
1971-05-07,1993-09-30,"Kingman, AZ US",0.0025,CITY:US040006
1996-10-01,1997-07-01,"Mesa, AZ US",0.0021,CITY:US040008
1971-05-01,2014-01-01,"Nogales, AZ US",0.0044,CITY:US040009
1971-05-06,2009-06-10,"Payson, AZ US",0.0047,CITY:US040010
1996-10-01,1997-07-01,"Phoenix, AZ US",0.0021,CITY:US040011
1971-05-06,1984-12-04,"Prescott, AZ US",0.0047,CITY:US040012
1971-05-01,2014-01-01,"Tucson, AZ US",0.0044,CITY:US040014
1972-01-01,2014-01-01,"Arkadelphia, AR US",0.0127,CITY:US050001
1984-01-01,2014-01-01,"Blytheville, AR US",0.0148,CITY:US050002
1972-02-06,2014-01-01,"Camden, AR US",0.0115,CITY:US050003
1984-01-01,2014-01-01,"El Dorado, AR US",0.0106,CITY:US050005
1971-05-05,2014-01-01,"Fayetteville, AR US",0.0085,CITY:US050006
1974-03-05,1979-06-13,"Forrest City, AR US",0.0093,CITY:US050007
1984-01-01,1988-12-31,"Fort Smith, AR US",0.0084,CITY:US050008
1984-01-01,2014-01-01,"Harrison, AR US",0.0165,CITY:US050009
1984-01-01,2008-02-29,"Hope, AR US",0.0159,CITY:US050010
1971-05-06,2014-01-01,"Hot Springs, AR US",0.0115,CITY:US050011
1981-05-01,2014-01-01,"Little Rock, AR US",0.0121,CITY:US050013
1971-05-06,2014-01-01,"Magnolia, AR US",0.008,CITY:US050014
1971-05-01,2014-01-01,"Mountain Home, AR US",0.0148,CITY:US050015
1974-04-01,2014-01-01,"Pine Bluff, AR US",0.01,CITY:US050017
1984-01-01,1988-06-30,"Russellville, AR US",0.016,CITY:US050018
1971-05-05,1975-01-01,"Searcy, AR US",0.0095,CITY:US050019
2004-10-01,2014-01-01,"Siloam Springs, AR US",0.0065,CITY:US050020
1976-09-10,2013-12-19,"Anaheim, CA US",0.0128,CITY:US060001
1978-02-07,2009-12-18,"Barstow, CA US",0.0027,CITY:US060003
1984-01-01,2010-03-01,"Blythe, CA US",0.0026,CITY:US060004
1973-05-24,2014-01-01,"Chico, CA US",0.0079,CITY:US060005
1972-02-19,2014-01-01,"Clearlake, CA US",0.0137,CITY:US060006
1977-10-29,2014-01-01,"Coalinga, CA US",0.0035,CITY:US060007
1984-01-01,2008-04-01,"El Centro, CA US",0.0016,CITY:US060008
1996-04-01,1997-05-27,"Eureka, CA US",0.0333,CITY:US060009
1971-05-02,2014-01-01,"Grass Valley, CA US",0.0149,CITY:US060011
1976-06-10,2013-12-19,"Long Beach, CA US",0.0115,CITY:US060012
1971-05-07,2014-01-01,"Los Angeles, CA US",0.0211,CITY:US060013
1984-01-01,2006-05-01,"Merced, CA US",0.0042,CITY:US060014
1972-06-01,2014-01-01,"Modesto, CA US",0.0044,CITY:US060015
1971-05-02,2014-01-01,"Monterey, CA US",0.0052,CITY:US060016
1971-05-02,2014-01-01,"Napa, CA US",0.0155,CITY:US060017
1983-11-01,2013-08-01,"Oakland, CA US",0.0144,CITY:US060018
1971-05-03,2008-01-01,"Oceanside, CA US",0.0042,CITY:US060019
2002-12-01,2010-01-01,"Oxnard, CA US",0.0027,CITY:US060020
1971-05-03,2010-09-01,"Palm Springs, CA US",0.0068,CITY:US060021
1992-02-18,2014-01-01,"Red Bluff, CA US",0.0084,CITY:US060022
1971-05-02,2014-01-01,"Redding, CA US",0.0168,CITY:US060023
1984-01-01,2013-09-01,"Riverside, CA US",0.0123,CITY:US060025
1984-01-01,2014-01-01,"Rosamond, CA US",0.0028,CITY:US060026
1971-05-02,2014-01-01,"Salinas, CA US",0.0061,CITY:US060028
1971-05-04,2014-01-01,"San Bernardino, CA US",0.0123,CITY:US060029
1971-05-03,1992-11-01,"San Diego, CA US",0.0043,CITY:US060030
1971-05-01,2014-01-01,"San Francisco, CA US",0.0186,CITY:US060031
1971-05-08,2014-01-01,"San Jose, CA US",0.0186,CITY:US060032
1971-05-02,2014-01-01,"San Luis Obispo, CA US",0.0081,CITY:US060033
1971-05-06,2013-12-19,"Santa Ana, CA US",0.0128,CITY:US060034
1971-05-02,2014-01-01,"Santa Barbara, CA US",0.0078,CITY:US060035
1971-05-07,2008-07-01,"Santa Clarita, CA US",0.0138,CITY:US060036
1971-05-27,2014-01-01,"Santa Cruz, CA US",0.0181,CITY:US060037
1984-01-01,1993-06-01,"Santa Maria, CA US",0.0018,CITY:US060038
1971-05-01,2014-01-01,"Santa Rosa, CA US",0.0175,CITY:US060039
1971-05-07,2013-11-07,"Simi Valley, CA US",0.0118,CITY:US060040
1975-11-01,2001-07-01,"Soledad, CA US",0.0049,CITY:US060041
1973-05-01,1978-04-01,"Stockton, CA US",0.0034,CITY:US060042
1984-01-01,2014-01-01,"Susanville, CA US",0.0058,CITY:US060043
1972-05-01,2014-01-01,"Ukiah, CA US",0.0121,CITY:US060044
1983-11-01,2005-09-30,"Vallejo, CA US",0.0076,CITY:US060045
1984-01-16,1988-08-01,"Visalia, CA US",0.0106,CITY:US060046
1980-10-12,2014-01-01,"Yuba City, CA US",0.0064,CITY:US060047
1975-02-01,2014-01-01,"Boulder, CO US",0.0091,CITY:US080001
1971-05-06,2014-01-01,"Colorado Springs, CO US",0.0055,CITY:US080003
1971-04-01,2014-01-01,"Denver, CO US",0.0065,CITY:US080004
1975-02-01,2014-01-01,"Fort Collins, CO US",0.0054,CITY:US080006
1986-07-01,1987-06-01,"Bridgeport, CT US",0.0004,CITY:US090001
1971-11-15,1996-02-01,"Danbury, CT US",0.0066,CITY:US090002
1971-12-01,1999-07-01,"Hartford, CT US",0.0114,CITY:US090003
1978-04-05,1998-01-01,"New Haven, CT US",0.0061,CITY:US090004
1977-07-08,1991-06-12,"Norwalk, CT US",0.0083,CITY:US090006
1972-06-16,2011-05-01,"Norwich, CT US",0.0162,CITY:US090007
1971-05-03,2000-11-01,"Stamford, CT US",0.023,CITY:US090008
1971-05-02,2014-01-01,"Torrington, CT US",0.0246,CITY:US090009
1971-05-02,2013-08-01,"Waterbury, CT US",0.0106,CITY:US090010
1971-05-01,2009-03-01,"Willimantic, CT US",0.0162,CITY:US090011
1978-06-05,2012-01-01,"Newark, DE US",0.011,CITY:US100002
1984-01-01,1999-05-01,"Belle Glade, FL US",0.007,CITY:US120001
1971-05-01,2014-01-01,"Boca Raton, FL US",0.0136,CITY:US120002
1971-05-01,2014-01-01,"Boynton Beach, FL US",0.0136,CITY:US120003
1971-05-01,1997-06-01,"Bradenton, FL US",0.0155,CITY:US120004
1976-03-02,2005-08-01,"Cape Coral, FL US",0.008,CITY:US120005
1971-05-01,2014-01-01,"Coral Springs, FL US",0.0136,CITY:US120007
1971-05-11,2014-01-01,"Deltona, FL US",0.0095,CITY:US120010
1973-09-01,2014-01-01,"Destin, FL US",0.0105,CITY:US120011
1976-03-02,2005-08-01,"Fort Myers, FL US",0.008,CITY:US120013
