mindate,maxdate,name,datacoverage,id
1994-03-30,2024-10-25,The Bahamas,0.95,FIPS:BF
1995-03-13,2024-10-25,Canada,0.95,FIPS:CA
1996-11-15,2024-10-25,Cuba,0.95,FIPS:CU
2020-08-10,2024-10-25,Dominican Republic,0.95,FIPS:DR
1996-08-26,2023-08-01,Japan,0.95,FIPS:JA
1996-03-11,2024-10-25,North Korea,0.95,FIPS:KN
1996-03-11,2024-10-25,South Korea,0.95,FIPS:KS
1994-04-27,2024-10-25,Mexico,0.95,FIPS:MX
1997-04-08,2001-03-24,Portugal,0.95,FIPS:PO
1997-09-12,2024-10-25,Russia,0.95,FIPS:RS
1992-09-21,2024-10-25,United States,0.95,FIPS:US
1997-07-07,2024-10-25,British Virgin Is.,0.95,FIPS:VI
