AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_SEQ_ID,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC_SEQ_ID2,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,UTC_LOCAL_TIME_VARIATION,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST,City
1000101,10001,01A,Afognak Lake Airport,"Afognak Lake, AK",101,1,United States,US,Alaska,AK,2.0,3000101,30001,"Afognak Lake, AK",101,1,58.0,N,6.0,34.0,58.10944444,152.0,W,54.0,24.0,-152.90666667,,7/1/2007 12:00:00 AM,,0,1,Afognak Lake
1000301,10003,03A,Bear Creek Mining Strip,"Granite Mountain, AK",101,1,United States,US,Alaska,AK,2.0,3000301,30003,"Granite Mountain, AK",101,1,65.0,N,32.0,53.0,65.54805556,161.0,W,4.0,18.0,-161.07166667,,7/1/2007 12:00:00 AM,,0,1,Granite Mountain
1000401,10004,04A,Lik Mining Camp,"Lik, AK",101,1,United States,US,Alaska,AK,2.0,3000401,30004,"Lik, AK",101,1,68.0,N,5.0,0.0,68.08333333,163.0,W,10.0,0.0,-163.16666667,,7/1/2007 12:00:00 AM,,0,1,Lik
1000501,10005,05A,Little Squaw Airport,"Little Squaw, AK",101,1,United States,US,Alaska,AK,2.0,3000501,30005,"Little Squaw, AK",101,1,67.0,N,34.0,12.0,67.57,148.0,W,11.0,2.0,-148.18388889,,8/1/2007 12:00:00 AM,,0,1,Little Squaw
1000601,10006,06A,Kizhuyak Bay,"Kizhuyak, AK",101,1,United States,US,Alaska,AK,2.0,3000601,30006,"Kizhuyak, AK",101,1,57.0,N,44.0,43.0,57.74527778,152.0,W,52.0,58.0,-152.88277778,,10/1/2007 12:00:00 AM,,0,1,Kizhuyak
1000701,10007,07A,Klawock Seaplane Base,"Klawock, AK",101,1,United States,US,Alaska,AK,2.0,3000701,30007,"Klawock, AK",101,1,55.0,N,33.0,17.0,55.55472222,133.0,W,6.0,6.0,-133.10166667,,4/1/2008 12:00:00 AM,,0,1,Klawock
1000801,10008,08A,Elizabeth Island Airport,"Elizabeth Island, AK",101,1,United States,US,Alaska,AK,2.0,3000801,30008,"Elizabeth Island, AK",101,1,59.0,N,9.0,25.0,59.15694444,151.0,W,49.0,45.0,-151.82916667,,6/1/2008 12:00:00 AM,,0,1,Elizabeth Island
1000901,10009,09A,Augustin Island,"Homer, AK",101,1,United States,US,Alaska,AK,2.0,3000901,30009,"Homer, AK",101,1,59.0,N,21.0,46.0,59.36277778,153.0,W,25.0,50.0,-153.43055556,,6/1/2008 12:00:00 AM,,0,1,Homer
1001001,10010,1B1,Columbia County,"Hudson, NY",2201,22,United States,US,New York,NY,36.0,3001001,30010,"Hudson, NY",2201,22,42.0,N,17.0,20.0,42.28888889,73.0,W,42.0,37.0,-73.71027778,-500.0,4/1/2009 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,Hudson
1001101,10011,1G4,Grand Canyon West,"Peach Springs, AZ",8101,81,United States,US,Arizona,AZ,4.0,3001101,30011,"Peach Springs, AZ",8101,81,35.0,N,59.0,25.0,35.99027778,113.0,W,48.0,59.0,-113.81638889,-700.0,7/1/2008 12:00:00 AM,9/30/2011 12:00:00 AM,0,0,Peach Springs
