station_name,coords,latitude,longitude,names,admin1,admin2,country
"JESSORE, BG","(23.1838, 89.160833)",23.16971,89.21371,Jessore,Khulna,,BD
"NORSEMAN AERO, AS","(-32.2166666, 121.75)",-30.86667,121.76667,Stoneville,Western Australia,Kalgoorlie/Boulder,AU
"FORT SCOTT MUNICIPAL, KS US","(37.798431, -94.769381)",37.83976,-94.7083,Fort Scott,Kansas,Bourbon County,US
"LOCHINGTON, AS","(-23.9333333, 147.5166666)",-23.52296,148.15784,Emerald,Queensland,Central Highlands,AU
"DZARDZAN, RS","(68.7333333, 124.0)",66.76601,123.37418,Zhigansk,Sakha,,RU
"ILOMANTSI MEKRIJARVI, FI","(62.7666666, 30.9833333)",62.67162,30.93276,Ilomantsi,North Karelia,Joensuu,FI
"LEBA, PL","(54.75, 17.5333333)",54.76099,17.55547,Leba,Pomeranian Voivodeship,Powiat leborski,PL
"LE HAVRE OCTEVILLE, FR","(49.5333333, 0.0833333)",49.5089,0.08446,Sainte-Adresse,Haute-Normandie,Departement de la Seine-Maritime,FR
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","(40.080111, 116.584556)",40.05756,116.57455,Tianzhu,Beijing,,CN
"HARROW CDA AUTO, CA","(42.0333333, -82.9)",42.11679,-83.04985,Amherstburg,Ontario,,CA
"GREENSBORO GREENE CO REGIONAL AIRPORT, GA US","(33.59778, -83.13889)",33.57568,-83.18238,Greensboro,Georgia,Greene County,US
"SAN CARLOS DE BARILOCHE, AR","(-41.151172, -71.157542)",-41.14557,-71.30822,San Carlos de Bariloche,Rio Negro,Departamento de Bariloche,AR
"BOUAR, CT","(5.9666667, 15.6333333)",5.93404,15.59599,Bouar,Nana-Mambere,,CF
"PHONHONG, LA","(18.4666666, 102.4)",18.49565,102.41421,Muang Phon-Hong,Vientiane,,LA
"LUKOJANOV, RS","(55.0333333, 44.5)",55.02772,44.47865,Lukoyanov,Nizjnij Novgorod,,RU
"PARC DES LAURENTIDES QUE, CA","(47.55, -71.2166666)",47.04428,-70.89529,Beaupre,Quebec,Capitale-Nationale,CA
"DODGE CENTER AIRPORT, MN US","(44.01778, -92.83139)",44.02802,-92.85464,Dodge Center,Minnesota,Dodge County,US
"EDGEOYA, NO","(78.25, 22.8166666)",78.22334,15.64689,Longyearbyen,Svalbard,Spitsbergen,SJ
"WEITRA, AU","(48.7, 14.8833333)",48.7,14.88333,Weitra,Lower Austria,Politischer Bezirk Gmund,AT
"GEORGETOWN AIRPORT, AS","(-18.3, 143.5333333)",-17.60758,145.48091,Ravenshoe,Queensland,Tablelands,AU
"KOKSHETAY, KZ","(53.2833333, 69.3833333)",53.28245,69.39692,Kokshetau,Aqmola,,KZ
"PASSOS, BR","(-20.75, -46.6333333)",-20.71889,-46.60972,Passos,Minas Gerais,Passos,BR
"MIKE HAXTUN, CO US","(40.7, -103.483333)",40.62554,-103.20771,Sterling,Colorado,Logan County,US
"OLD PORT TAMPA, FL US","(27.85, -82.55)",27.8685,-82.61612,Gandy,Florida,Pinellas County,US
"KASHAN, IR","(33.895333, 51.577044)",33.98308,51.43644,Kashan,Isfahan,,IR
"PORTO DE MOZ, BR","(-1.7333333, -52.2333333)",-1.74833,-52.23833,Porto de Moz,Para,Porto De Moz,BR
"BAILE HERCULANE, RO","(44.8833333, 22.4166666)",44.87972,22.4125,Baile Herculane,Caras-Severin,Oras Baile Herculane,RO
"PYONGGANG, KN","(38.4166666, 127.2833333)",38.20917,127.2175,Cheorwon,Gangwon-do,,KR
"AEDEY, IC","(66.1, -22.6666666)",66.07475,-23.13498,Isafjoerdur,Westfjords,,IS
"LANGEN ARLBERG, AU","(47.1166666, 10.1166666)",47.13333,10.08333,Klosterle,Vorarlberg,Politischer Bezirk Bludenz,AT
"HELSINKI KAISANIEMI, FI","(60.1833333, 24.95)",60.16952,24.93545,Helsinki,Uusimaa,Helsinki,FI
"ABILENE REGIONAL AIRPORT, TX US","(32.41063, -99.68208)",32.44874,-99.73314,Abilene,Texas,Taylor County,US
"DRAVAGEN, SW","(62.1, 13.6166666)",62.03407,14.36577,Sveg,Jaemtland,Harjedalens Kommun,SE
"OPOCHKA, RS","(56.7166666, 28.7166666)",56.71048,28.66174,Opochka,Pskov,,RU
"HERITAGE FIELD AIRPORT, PA US","(40.23803, -75.55485)",40.23093,-75.52212,Limerick,Pennsylvania,Montgomery County,US
"REMANSO, BR","(-9.6166666, -42.0833333)",-9.01528,-42.69944,Sao Raimundo Nonato,Piaui,Sao Raimundo Nonato,BR
"MADERA MUNICIPAL AIRPORT, CA US","(36.98505, -120.11068)",36.96134,-120.06072,Madera,California,Madera County,US
"DECATUR AIRPORT, IL US","(39.83079, -88.87192)",39.81198,-88.84757,Long Creek,Illinois,Macon County,US
"QUYQUYHAT, PA","(-26.2166666, -56.9833333)",-26.01667,-57.05,Ybycui,Paraguari,,PY
"OYEN AGDM ALTA, CA","(51.3833333, -110.35)",52.35014,-110.26828,Provost,Alberta,,CA
"CORTEZ MONTEZUMA CO AIRPORT, CO US","(37.30705, -108.62646)",37.34888,-108.58593,Cortez,Colorado,Montezuma County,US
"NAKHON PHANOM, TH","(17.383794, 104.643022)",17.41081,104.77856,Nakhon Phanom,Nakhon Phanom,,TH
"CROSBY MUNICIPAL AIRPORT, ND US","(48.929, -103.297)",48.9142,-103.29491,Crosby,North Dakota,Divide County,US
"EL DORADO GOODWIN FIELD, AR US","(33.22072, -92.81404)",33.20763,-92.66627,El Dorado,Arkansas,Union County,US
"SOLDOTNA AIRPORT, AK US","(60.47583, -151.03417)",60.48778,-151.05833,Soldotna,Alaska,Kenai Peninsula Borough,US
"GREAT FALL CLIMO, CA","(50.5222222, -95.9772222)",50.2536,-96.06116,Lac du Bonnet,Manitoba,,CA
"HULIN, CH","(45.7666666, 132.9666666)",45.47885,133.42825,Lesozavodsk,Primorskiy,,RU
"CHERSKIJ, RS","(68.75, 161.2833333)",68.75325,161.33197,Cherskiy,Sakha,,RU
"CLERMONT CO AIRPORT, OH US","(39.07838, -84.21022)",39.07701,-84.17688,Batavia,Ohio,Clermont County,US
"OCEANSIDE MUNICIPAL AIRPORT, CA US","(33.21946, -117.34962)",33.22844,-117.37929,Camp Pendleton South,California,San Diego County,US
"PASNI, PK","(25.290161, 63.344425)",25.26311,63.47103,Pasni,Balochistan,,PK
"LA JUNTA MUNICIPAL AIRPORT, CO US","(38.04948, -103.51335)",37.98501,-103.54383,La Junta,Colorado,Otero County,US
"MOUNT CARMEL MUNICIPAL AIRPORT, IL US","(38.60667, -87.72667)",38.70588,-87.76003,Bridgeport,Illinois,Lawrence County,US
"SINUIJU, KN","(40.1, 124.3833333)",40.10056,124.39806,Sinuiju,P'yongan-bukto,,KP
"KHERSON, UP","(46.6333333, 32.5666666)",46.65581,32.6178,Kherson,Kherson,,UA
"UST UMAL TA, RS","(51.6333333, 133.2666666)",51.12853,133.00827,Chegdomyn,Khabarovsk Krai,,RU
"MOUNT BOYCE, AS","(-33.6166666, 150.2666666)",-33.63567,150.28318,Blackheath,New South Wales,Blue Mountains Municipality,AU
"MUNDARE AGDM ALTA, CA","(53.5666666, -112.3)",53.50015,-112.05182,Vegreville,Alberta,,CA
"CAPE SAGRO, FR","(42.8, 9.4833333)",42.76667,9.45,Brando,Corsica,Departement de la Haute-Corse,FR
"NYUKSENITSA, RS","(60.4166666, 44.2166666)",60.41159,44.23309,Nyuksenitsa,Vologda,,RU
"SOUTH JERSEY REGIONAL AIRPORT, NJ US","(39.94076, -74.84075)",39.934,-74.891,Mount Laurel,New Jersey,Burlington County,US
"NOVYJ PORT, RS","(67.6833333, 72.8833333)",68.45972,73.59028,Mys-Kamennyy,Yamalo-Nenetskiy Avtonomnyy Okrug,,RU
"ODATE NOSHIRO, JA","(40.191872, 140.371431)",40.22268,140.36611,Takanosu,Akita,,JP
"TARKO SALE, RS","(64.9166666, 77.8166666)",64.91611,77.77457,Tarko-Sale,Yamalo-Nenetskiy Avtonomnyy Okrug,,RU
"CHAWANG, TH","(8.4333333, 99.5166666)",8.42614,99.50472,Chawang,Nakhon Si Thammarat,,TH
"GRANTS MILAN MUNICIPAL AIRPORT, NM US","(35.16528, -107.90222)",35.16976,-107.89089,Milan,New Mexico,Cibola County,US
"URGENCH, UZ","(41.584272, 60.641708)",41.55,60.63333,Urganch,Xorazm,,UZ
"ALAMEDA, CA US","(37.772, -122.298)",37.80437,-122.2708,Oakland,California,Alameda County,US
"OAKDALE ALLEN PARISH AIRPORT, LA US","(30.75028, -92.68833)",30.81603,-92.66042,Oakdale,Louisiana,Allen Parish,US
"KELIBIA, TS","(36.85, 11.0833333)",36.84757,11.09386,Qulaybiyah,Nabul,,TN
"NAOMAOHU, CH","(43.6, 95.1333333)",43.24918,94.6943,Yiwu,Xinjiang Uygur Zizhiqu,,CN
"SULTAN MAHMUD BADARUDDIN II, ID","(-2.897922, 104.701378)",-2.8817,104.6939,Talangbetutu,South Sumatra,,ID
"THOMAS POINT MD, US","(38.9, -76.44)",38.94011,-76.49496,Hillsmere Shores,Maryland,Anne Arundel County,US
"LEITE LOPES, BR","(-21.134167, -47.774189)",-21.1775,-47.81028,Ribeirao Preto,Sao Paulo,Ribeirao Preto,BR
"URUCUI, BR","(-7.4666666, -44.35)",-7.22944,-44.55611,Urucui,Piaui,Urucui,BR
"COMBIENBAR, AS","(-37.3333333, 149.0166666)",-36.91212,149.23669,Bombala,New South Wales,Bombala,AU
"HEKKINGEN FYR, NO","(69.6, 17.8333333)",69.22959,17.98114,Finnsnes,Troms,Lenvik,NO
"NAVOI, UZ","(40.1333333, 65.35)",40.13782,65.37545,Karmana Shahri,Navoiy,,UZ
"NUKHEB, IZ","(32.0333333, 42.2833333)",32.56687,43.48815,`Ayn Tamr,Muhafazat Karbala',,IQ
