mindate,maxdate,name,datacoverage,id
1888-02-01,2024-10-24,Alabama,1,FIPS:01
1893-09-05,2024-10-24,Alaska,1,FIPS:02
1867-08-01,2024-10-24,Arizona,1,FIPS:04
1871-07-01,2024-10-24,Arkansas,1,FIPS:05
1850-10-01,2024-10-24,California,1,FIPS:06
1852-10-01,2024-10-24,Colorado,1,FIPS:08
1884-11-01,2024-10-24,Connecticut,1,FIPS:09
1893-01-01,2024-10-24,Delaware,1,FIPS:10
1870-11-01,2024-10-24,District of Columbia,1,FIPS:11
1871-09-12,2024-10-24,Florida,1,FIPS:12
1849-01-01,2024-10-24,Georgia,1,FIPS:13
1905-01-01,2024-10-24,Hawaii,1,FIPS:15
1892-06-01,2024-10-24,Idaho,1,FIPS:16
1870-10-15,2024-10-24,Illinois,1,FIPS:17
1888-10-22,2024-10-24,Indiana,1,FIPS:18
1891-07-01,2024-10-24,Iowa,1,FIPS:19
1857-04-01,2024-10-24,Kansas,1,FIPS:20
1872-10-11,2024-10-24,Kentucky,1,FIPS:21
1891-02-01,2024-10-24,Louisiana,1,FIPS:22
1885-06-01,2024-10-24,Maine,1,FIPS:23
1871-01-01,2024-10-24,Maryland,1,FIPS:24
1884-11-01,2024-10-24,Massachusetts,1,FIPS:25
1887-06-01,2024-10-24,Michigan,1,FIPS:26
1886-01-01,2024-10-24,Minnesota,1,FIPS:27
1891-02-01,2024-10-24,Mississippi,1,FIPS:28
1890-01-01,2024-10-24,Missouri,1,FIPS:29
1891-08-01,2024-10-24,Montana,1,FIPS:30
1878-05-03,2024-10-24,Nebraska,1,FIPS:31
1877-07-01,2024-10-24,Nevada,1,FIPS:32
1868-01-01,2024-10-24,New Hampshire,1,FIPS:33
1865-06-08,2024-10-24,New Jersey,1,FIPS:34
1871-11-18,2024-10-24,New Mexico,1,FIPS:35
1869-01-01,2024-10-24,New York,1,FIPS:36
1869-03-01,2024-10-24,North Carolina,1,FIPS:37
1891-07-01,2024-10-24,North Dakota,1,FIPS:38
1871-01-01,2024-10-24,Ohio,1,FIPS:39
1870-04-01,2024-10-24,Oklahoma,1,FIPS:40
1871-11-19,2024-10-24,Oregon,1,FIPS:41
1849-04-01,2024-10-24,Pennsylvania,1,FIPS:42
1893-01-01,2024-10-24,Rhode Island,1,FIPS:44
1849-05-01,2024-10-24,South Carolina,1,FIPS:45
1893-01-01,2024-10-24,South Dakota,1,FIPS:46
1879-01-01,2024-10-24,Tennessee,1,FIPS:47
1852-04-01,2024-10-24,Texas,1,FIPS:48
1887-12-01,2024-10-24,Utah,1,FIPS:49
1883-12-01,2024-10-24,Vermont,1,FIPS:50
1869-01-01,2024-10-24,Virginia,1,FIPS:51
1877-07-01,2024-10-24,Washington,1,FIPS:53
1854-01-01,2024-10-24,West Virginia,1,FIPS:54
1869-01-01,2024-10-24,Wisconsin,1,FIPS:55
1890-12-03,2024-10-24,Wyoming,1,FIPS:56
