mindate,maxdate,name,datacoverage,id
1892-01-01,2024-01-01,Alabama,1,FIPS:01
1898-11-01,2024-01-01,Alaska,1,FIPS:02
1868-01-01,2024-01-01,Arizona,1,FIPS:04
1873-01-01,2024-01-01,Arkansas,1,FIPS:05
1851-01-01,2024-01-01,California,1,FIPS:06
1856-01-01,2024-01-01,Colorado,1,FIPS:08
1884-11-01,2024-01-01,Connecticut,1,FIPS:09
1893-01-01,2024-01-01,Delaware,1,FIPS:10
1870-11-01,2024-01-01,District of Columbia,1,FIPS:11
1872-01-01,2024-01-01,Florida,1,FIPS:12
1849-01-01,2024-01-01,Georgia,1,FIPS:13
1905-01-01,2024-01-01,Hawaii,1,FIPS:15
1893-01-01,2024-01-01,Idaho,1,FIPS:16
1892-01-01,2024-01-01,Illinois,1,FIPS:17
1888-01-01,2024-01-01,Indiana,1,FIPS:18
1891-01-01,2024-01-01,Iowa,1,FIPS:19
1869-01-01,2024-01-01,Kansas,1,FIPS:20
1873-01-01,2024-01-01,Kentucky,1,FIPS:21
1891-12-01,2024-01-01,Louisiana,1,FIPS:22
1885-06-01,2024-01-01,Maine,1,FIPS:23
1871-01-01,2024-01-01,Maryland,1,FIPS:24
1885-01-01,2024-01-01,Massachusetts,1,FIPS:25
1888-01-01,2024-01-01,Michigan,1,FIPS:26
1886-01-01,2024-01-01,Minnesota,1,FIPS:27
1891-01-01,2024-01-01,Mississippi,1,FIPS:28
1890-01-01,2024-01-01,Missouri,1,FIPS:29
1892-01-01,2024-01-01,Montana,1,FIPS:30
1878-01-01,2024-01-01,Nebraska,1,FIPS:31
1878-01-01,2024-01-01,Nevada,1,FIPS:32
1868-01-01,2024-01-01,New Hampshire,1,FIPS:33
1866-01-01,2024-01-01,New Jersey,1,FIPS:34
1871-11-18,2024-01-01,New Mexico,1,FIPS:35
1869-01-01,2024-01-01,New York,1,FIPS:36
1871-01-01,2024-01-01,North Carolina,1,FIPS:37
1893-01-01,2024-01-01,North Dakota,1,FIPS:38
1871-01-01,2024-01-01,Ohio,1,FIPS:39
1872-01-01,2024-01-01,Oklahoma,1,FIPS:40
1872-01-01,2024-01-01,Oregon,1,FIPS:41
1869-01-01,2024-01-01,Pennsylvania,1,FIPS:42
1893-01-01,2024-01-01,Rhode Island,1,FIPS:44
1854-01-01,2024-01-01,South Carolina,1,FIPS:45
1893-01-01,2024-01-01,South Dakota,1,FIPS:46
1879-01-01,2024-01-01,Tennessee,1,FIPS:47
1854-01-01,2024-01-01,Texas,1,FIPS:48
1888-01-01,2024-01-01,Utah,1,FIPS:49
1884-01-01,2024-01-01,Vermont,1,FIPS:50
1870-01-01,2024-01-01,Virginia,1,FIPS:51
1878-01-01,2024-01-01,Washington,1,FIPS:53
1854-01-01,2024-01-01,West Virginia,1,FIPS:54
1869-01-01,2024-01-01,Wisconsin,1,FIPS:55
1893-01-01,2024-01-01,Wyoming,1,FIPS:56
