mindate,maxdate,name,datacoverage,id
1995-04-03,2024-10-23,Alabama,0.95,FIPS:01
2001-05-01,2024-10-23,Alaska,0.95,FIPS:02
1995-05-09,2024-10-23,Arizona,0.95,FIPS:04
1995-05-09,2024-10-23,Arkansas,0.95,FIPS:05
1995-05-03,2024-10-23,California,0.95,FIPS:06
1994-08-04,2024-10-23,Colorado,0.95,FIPS:08
1994-12-15,2024-10-23,Connecticut,0.95,FIPS:09
1995-05-09,2024-10-23,Delaware,0.95,FIPS:10
1995-05-09,2024-10-23,District of Columbia,0.95,FIPS:11
1995-04-03,2024-10-23,Florida,0.95,FIPS:12
1995-05-09,2024-10-23,Georgia,0.95,FIPS:13
2001-05-01,2024-10-23,Hawaii,0.95,FIPS:15
1995-05-09,2024-10-23,Idaho,0.95,FIPS:16
1994-07-15,2024-10-23,Illinois,0.95,FIPS:17
1995-05-09,2024-10-23,Indiana,0.95,FIPS:18
1994-07-15,2024-10-23,Iowa,0.95,FIPS:19
1994-08-04,2024-10-23,Kansas,0.95,FIPS:20
1994-07-15,2024-10-23,Kentucky,0.95,FIPS:21
1995-04-03,2024-10-23,Louisiana,0.95,FIPS:22
1994-12-15,2024-10-23,Maine,0.95,FIPS:23
1995-01-19,2024-10-23,Maryland,0.95,FIPS:24
1994-12-15,2024-10-23,Massachusetts,0.95,FIPS:25
1995-02-09,2024-10-23,Michigan,0.95,FIPS:26
1995-06-01,2024-10-23,Minnesota,0.95,FIPS:27
1995-04-03,2024-10-23,Mississippi,0.95,FIPS:28
1994-07-15,2024-10-23,Missouri,0.95,FIPS:29
1995-04-26,2024-10-23,Montana,0.95,FIPS:30
1995-04-11,2024-10-23,Nebraska,0.95,FIPS:31
1995-05-09,2024-10-23,Nevada,0.95,FIPS:32
1994-12-15,2024-10-23,New Hampshire,0.95,FIPS:33
1995-05-09,2024-10-23,New Jersey,0.95,FIPS:34
1994-08-04,2024-10-23,New Mexico,0.95,FIPS:35
1994-12-15,2024-10-23,New York,0.95,FIPS:36
1995-05-04,2024-10-23,North Carolina,0.95,FIPS:37
1995-09-06,2024-10-23,North Dakota,0.95,FIPS:38
1995-01-19,2024-10-23,Ohio,0.95,FIPS:39
1994-08-04,2024-10-23,Oklahoma,0.95,FIPS:40
1995-02-10,2024-10-23,Oregon,0.95,FIPS:41
1995-01-19,2024-10-23,Pennsylvania,0.95,FIPS:42
1994-12-15,2024-10-23,Rhode Island,0.95,FIPS:44
1995-05-04,2024-10-23,South Carolina,0.95,FIPS:45
1995-07-19,2024-10-23,South Dakota,0.95,FIPS:46
1995-05-09,2024-10-23,Tennessee,0.95,FIPS:47
1994-08-04,2024-10-23,Texas,0.95,FIPS:48
1995-06-01,2024-10-23,Utah,0.95,FIPS:49
1994-12-15,2024-10-23,Vermont,0.95,FIPS:50
1995-01-19,2024-10-23,Virginia,0.95,FIPS:51
1995-02-10,2024-10-23,Washington,0.95,FIPS:53
1995-01-19,2024-10-23,West Virginia,0.95,FIPS:54
1995-05-09,2024-10-23,Wisconsin,0.95,FIPS:55
1995-05-09,2024-10-23,Wyoming,0.95,FIPS:56
