mindate,maxdate,name,datacoverage,id
1971-05-01,2014-01-01,Alabama,0.0166,FIPS:01
1976-01-01,2014-01-01,Alaska,0.0069,FIPS:02
1971-05-01,2014-01-01,Arizona,0.0124,FIPS:04
1971-05-01,2014-01-01,Arkansas,0.0308,FIPS:05
1971-01-01,2014-01-01,California,0.0333,FIPS:06
1971-04-01,2014-01-01,Colorado,0.0153,FIPS:08
1971-05-01,2014-01-01,Connecticut,0.0246,FIPS:09
1971-05-07,2012-01-01,Delaware,0.011,FIPS:10
1971-05-01,2014-01-01,Florida,0.0221,FIPS:12
1971-05-01,2014-01-01,Georgia,0.0217,FIPS:13
1971-05-01,2014-01-01,Hawaii,0.0443,FIPS:15
1971-05-01,2014-01-01,Idaho,0.0146,FIPS:16
1971-01-03,2014-01-01,Illinois,0.0275,FIPS:17
1970-11-02,2014-01-01,Indiana,0.25,FIPS:18
1971-01-03,2014-01-01,Iowa,0.0195,FIPS:19
1971-02-04,2014-01-01,Kansas,0.0121,FIPS:20
1971-01-03,2014-01-01,Kentucky,0.0395,FIPS:21
1971-04-01,2014-01-01,Louisiana,0.0256,FIPS:22
1971-05-03,2014-01-01,Maine,0.0384,FIPS:23
1971-04-02,2014-01-01,Maryland,0.0237,FIPS:24
1971-05-01,2013-04-01,Massachusetts,0.047,FIPS:25
1970-05-12,2014-01-01,Michigan,0.0187,FIPS:26
1971-05-01,2014-01-01,Minnesota,0.0195,FIPS:27
1971-05-06,2014-01-01,Mississippi,0.0231,FIPS:28
1970-09-02,2014-01-01,Missouri,0.0177,FIPS:29
1971-03-03,2014-01-01,Montana,0.0125,FIPS:30
1970-12-10,2014-01-01,Nebraska,0.0182,FIPS:31
1970-11-05,2014-01-01,Nevada,0.25,FIPS:32
1971-03-03,2014-01-01,New Hampshire,0.0394,FIPS:33
1970-07-02,2014-01-01,New Jersey,0.0424,FIPS:34
1971-05-02,2014-01-01,New Mexico,0.0071,FIPS:35
1970-10-03,2014-01-01,New York,0.25,FIPS:36
1970-06-04,2014-01-01,North Carolina,0.0291,FIPS:37
1970-08-21,2014-01-01,North Dakota,0.0094,FIPS:38
1971-05-01,2014-01-01,Ohio,0.0292,FIPS:39
1970-11-13,2014-01-01,Oklahoma,0.0251,FIPS:40
1970-11-04,2014-01-01,Oregon,0.0654,FIPS:41
1970-12-03,2014-01-01,Pennsylvania,0.25,FIPS:42
1971-05-02,1996-12-01,Rhode Island,0.0089,FIPS:44
1970-11-10,2014-01-01,South Carolina,0.0148,FIPS:45
1971-03-17,2014-01-01,South Dakota,0.0194,FIPS:46
1971-05-01,2014-01-01,Tennessee,0.0225,FIPS:47
1971-05-01,2014-01-01,Texas,0.025,FIPS:48
1970-12-09,2014-01-01,Utah,0.0136,FIPS:49
1971-05-01,2014-01-01,Vermont,0.0442,FIPS:50
1970-09-04,2014-01-01,Virginia,0.0242,FIPS:51
1971-02-03,2014-01-01,Washington,0.0321,FIPS:53
1971-05-01,2014-01-01,West Virginia,0.0217,FIPS:54
1971-05-01,2014-01-01,Wisconsin,0.0183,FIPS:55
1970-11-01,2014-01-01,Wyoming,0.0093,FIPS:56
