mindate,maxdate,name,datacoverage,id
1948-06-01,2014-01-01,Alabama,0.0814,FIPS:01
1949-09-01,2014-01-01,Alaska,0.275,FIPS:02
1948-07-01,2014-01-01,Arizona,0.2381,FIPS:04
1948-05-01,2014-01-01,Arkansas,0.0933,FIPS:05
1936-01-01,2014-01-01,California,0.25,FIPS:06
1948-08-01,2014-01-01,Colorado,0.1243,FIPS:08
1947-11-01,2014-01-01,Connecticut,0.1025,FIPS:09
1948-08-01,2013-12-29,Delaware,0.0774,FIPS:10
1948-08-01,1965-12-25,District of Columbia,0.0655,FIPS:11
1942-01-01,2014-01-01,Florida,0.0961,FIPS:12
1948-06-01,2014-01-01,Georgia,0.1031,FIPS:13
1962-10-01,2014-01-01,Hawaii,0.2212,FIPS:15
1948-07-01,2014-01-01,Idaho,0.1538,FIPS:16
1946-07-01,2014-01-01,Illinois,0.1538,FIPS:17
1948-07-01,2014-01-01,Indiana,0.1667,FIPS:18
1948-08-01,2014-01-01,Iowa,1.0,FIPS:19
1948-08-01,2014-01-01,Kansas,0.0749,FIPS:20
1948-08-01,2014-01-01,Kentucky,0.1231,FIPS:21
1940-05-28,2014-01-01,Louisiana,0.0864,FIPS:22
1946-04-22,2014-01-01,Maine,0.1847,FIPS:23
1948-05-01,2014-01-01,Maryland,0.1014,FIPS:24
1948-05-01,2014-01-01,Massachusetts,0.1223,FIPS:25
1941-10-08,2014-01-01,Michigan,0.1525,FIPS:26
1948-08-01,2014-01-01,Minnesota,0.1016,FIPS:27
1947-10-01,2014-01-01,Mississippi,0.1538,FIPS:28
1948-01-01,2014-01-01,Missouri,0.1072,FIPS:29
1940-01-01,2014-01-01,Montana,0.1719,FIPS:30
1948-08-01,2014-01-01,Nebraska,0.1127,FIPS:31
1948-07-01,2014-01-01,Nevada,0.0468,FIPS:32
1948-05-01,2014-01-01,New Hampshire,0.2069,FIPS:33
1946-06-01,2014-01-01,New Jersey,0.0931,FIPS:34
1947-10-01,2014-01-01,New Mexico,0.0875,FIPS:35
1948-05-01,2014-01-01,New York,0.1379,FIPS:36
1902-08-01,2014-01-01,North Carolina,0.1202,FIPS:37
1948-08-01,2014-01-01,North Dakota,0.0677,FIPS:38
1948-08-01,2014-01-01,Ohio,0.1333,FIPS:39
1947-07-01,2014-01-01,Oklahoma,1.0,FIPS:40
1948-07-01,2014-01-01,Oregon,0.1937,FIPS:41
1948-01-01,2014-01-01,Pennsylvania,0.244,FIPS:42
1948-05-01,2013-12-30,Rhode Island,0.1009,FIPS:44
1948-06-01,2014-01-01,South Carolina,0.0828,FIPS:45
1948-08-01,2014-01-01,South Dakota,0.3,FIPS:46
1948-05-01,2014-01-01,Tennessee,0.1369,FIPS:47
1940-01-01,2014-01-01,Texas,0.1194,FIPS:48
1948-07-01,2014-01-01,Utah,0.0661,FIPS:49
1948-05-01,2014-01-01,Vermont,0.1197,FIPS:50
1948-05-01,2014-01-01,Virginia,0.1045,FIPS:51
1948-07-01,2014-01-01,Washington,0.2419,FIPS:53
1948-05-01,2014-01-01,West Virginia,0.1893,FIPS:54
1948-08-01,2014-01-01,Wisconsin,0.0886,FIPS:55
1948-08-01,2014-01-01,Wyoming,0.1072,FIPS:56
